aahe: aahed
ewni: lewnite
ewty: lewty
lezg: lezghian
ezgh: lezghian
zghi: lezghian
lgth: lgth
rzit: lherzite
rzol: lherzolite
lhia: lhiamba
lhot: lhota
bame: libament
ibbr: libbra
libg: libget
ibge: libget
ibke: libken
bken: libken
ibki: libkin
libs: libs
lidf: lidflower
idfl: lidflower
erku: lieberkuhn
rkuh: lieberkuhn
iebf: liebfraumilch
ebfr: liebfraumilch
iebg: liebgeaitor
ebge: liebgeaitor
bgea: liebgeaitor
geai: liebgeaitor
iebl: lieblich
efso: liefsome
fsom: liefsome
ienh: lienholder
iesp: liespfund
espf: liespfund
spfu: liespfund
evaa: lievaart
vaar: lievaart
ievr: lievrite
febu: lifebuoy
fedr: lifedrop
ifey: lifey
fesk: lifeskills
lyfk: lyfkie
yfki: lyfkie
fkie: lyfkie
htye: lightyears
tyea: lightyears
htke: lightkeeper
gbug: lightningbug
htpl: lightplane
gyda: ligyda
gydi: ligydidae
lihy: lihyanite
liyu: liyuan
iyua: liyuan
ykew: lykewake
likn: liknon
ikut: likuta
cthr: lilacthroat
lilb: lilburne
ilyf: lilyfy
lyfy: lilyfy
ilyh: lilyhanded
iifl: liliiflorae
mawo: limawood
imbm: limbmeal
imeh: limehouse
imeq: limequat
lymh: lymhpangiophlebitis
ymhp: lymhpangiophlebitis
imiv: limivorous
nocn: limnocnida
mnom: limnometer
impw: limpwort
olnl: lincolnlike
lnli: lincolnlike
lynd: lyndon
dsay: lindsay
neny: lineny
nenm: linenman
gbya: lyngbyaceae
gbye: lyngbyeae
byea: lyngbyeae
yeae: lyngbyeae
uaef: linguaeform
guog: linguogingival
uogi: linguogingival
guov: linguoversion
iniy: liniya
ynnh: lynnhaven
ntwh: lintwhite
ynxl: lynxlike
ypem: lypemania
ipoh: lipohemia
uorl: liquorless
yrai: lyraid
yraw: lyraway
yref: lyreflower
iodd: lirioddra
lyru: lyrurus
yrur: lyrurus
senk: lysenkoism
lisz: liszt
iszt: liszt
aehu: literaehumaniores
giur: lithangiuria
paxy: litholapaxy
itye: lityerses
tyer: lityerses
ituu: lituus
litv: litvak
itva: litvak
tvak: litvak
liuk: liukiu
iuki: liukiu
ukiu: liukiu
vebe: livebearer
rpud: liverpudlian
pudl: liverpudlian
dlia: liverpudlian
livl: livlihood
ivli: livlihood
vlih: livlihood
ivon: livonian
lyxo: lyxose
lanb: llanberisslate
lndg: lndg
oafl: loaflet
loag: loaghtan
oagh: loaghtan
oaia: loaiasis
oanm: loanmonger
oatu: loatuko
hevs: lobachevskian
bcok: lobcokt
cokt: lobcokt
lobf: lobfig
lobt: lobtail
kpor: lockport
locn: locn
loeg: loegria
oegr: loegria
lofs: lofstelle
ofst: lofstelle
gaoe: logaoedic
gchi: logchip
ogoc: logocracy
gocr: logocracy
daly: logodaedaly
ogoe: logoes
ogof: logoff
okac: lokacara
kaos: lokaose
lokm: lokman
loks: lokshen
lomt: lomta
gacr: longacre
ngcl: longcloth
gclo: longcloth
geva: longeval
geve: longeve
gfel: longfelt
gima: longimanous
ginq: longinquity
gshu: longshucks
gsuf: longsuffering
lonh: lonhyn
nhyn: lonhyn
nouh: lonouhard
lonq: lonquhard
nquh: lonquhard
quha: lonquhard
fahs: loofahs
mfix: loomfixer
onyb: loonybin
loov: loover
rdki: lordkin
dswi: lordswike
swik: lordswike
ouey: louey
ouiq: louiqa
uiqa: louiqa
uisv: louisville
ovee: lovee
owei: loweite
owig: lowigite
wlil: lowlily
wmos: lowmost
lowv: lowville
owvi: lowville
wvil: lowville
oxom: loxomma
xomm: loxomma
uaus: luaus
lucb: lucban
ucba: lucban
cban: lucban
lucy: lucy
ifee: lucifee
ucim: lucimeter
uggn: luggnagg
ggna: luggnagg
ghdo: lughdoan
hdoa: lughdoan
lugn: lugnas
ujau: lujaurite
jaur: lujaurite
ujav: lujavrite
javr: lujavrite
luju: lujula
ujul: lujula
luai: luluai
nchh: lunchhook
dyfo: lundyfoot
gsic: lungsick
rgwo: lurgworm
utao: lutao
teov: luteovirescent
lutf: lutfisk
luwi: luwian
uwia: luwian
xuli: luxulianite
xull: luxullianite
luzu: luzula
zula: luzula
lwop: lwop
maad: maad
maan: maana
maat: maat
mabb: mabble
maby: mabyer
mabu: mabuti
caas: macaasim
macb: macbeth
acbe: macbeth
cbet: macbeth
macd: macduff
acdu: macduff
cduf: macduff
acfa: macfarlane
cfar: macfarlane
acfl: macflecknoe
cfle: macflecknoe
eckn: macflecknoe
knoe: macflecknoe
haon: machaon
chtp: machtpolitik
htpo: machtpolitik
cign: macigno
kayb: mackaybean
eaya: macleaya
clib: maclib
macm: macmillanite
cmil: macmillanite
macq: macquereau
acrl: macrli
crli: macrli
adaf: madafu
dafu: madafu
adeg: madegassy
madg: madge
dhuc: madhuca
adhv: madhva
dhva: madhva
adoq: madoqua
madt: madtom
dtom: madtom
maem: maemacterion
mafe: mafey
afey: mafey
mafo: mafoo
magb: magbote
gotp: maggotpie
aghz: maghzen
ghze: maghzen
gicd: magicdom
icdo: magicdom
cdom: magicdom
siof: magnesioferrite
ifiq: magnifique
gnir: magnirostrate
rajr: maharajrana
hewu: mahewu
nggs: mahjonggs
mahl: mahlstick
ahmu: mahmudi
ahoi: mahoitre
hsir: mahsir
ahsu: mahsur
hsur: mahsur
mahw: mahwa
yapi: mayapis
aidc: maidchild
irtr: maidenhairtree
aidk: maidkin
aydu: mayduke
yduk: mayduke
aief: maiefic
yfai: mayfair
yfow: mayfowl
maig: maigre
mayn: maynt
aynt: maynt
maip: maipure
maiu: maius
izeb: maizebird
zebi: maizebird
ajeu: majeure
jeur: majeure
majl: majlis
ajli: majlis
jlis: majlis
ajoo: majoon
jorc: majorcan
akad: makadoo
khza: makhzan
hzan: makhzan
khze: makhzen
makl: makluk
akop: makopa
koua: makoua
akso: maksoorah
ksoo: maksoorah
akuk: makuk
aano: malaanonang
ayiz: malayize
ldig: maldigestion
ldir: maldirection
docc: maldocchio
lhyg: malhygiene
lhon: malhonest
kadn: malikadna
likz: malikzadi
ikza: malikzadi
kzad: malikzadi
aloj: malojilla
loji: malojilla
ojil: malojilla
ouah: malouah
lpub: malpublication
lrot: malrotation
ltob: maltobiose
malw: malwa
mlat: mamlatdar
atda: mamlatdar
mlut: mamlutdar
lutd: mamlutdar
mamr: mamry
amry: mamry
mamz: mamzer
bozh: manabozho
nasq: manasquan
navl: manavlins
avli: manavlins
klak: manbarklak
daca: mandacaru
dyai: mandyai
ragv: mandragvn
agvn: mandragvn
ruka: mandruka
aneq: manequin
ganh: manganhedenbergite
ganp: manganpectolite
anpe: manganpectolite
geao: mangeao
gelw: mangelwurzel
elwu: mangelwurzel
lwur: mangelwurzel
nyem: manyema
anyf: manyfold
nyfo: manyfold
anyn: manyness
nyne: manyness
ypli: manyplies
anyr: manyroot
nnok: mannoketoheptose
vrei: manoeuvreing
ntzu: mantzu
nuao: manuao
numo: manumotive
manv: manvantara
anxm: manxman
nxma: manxman
anxw: manxwoman
nxwo: manxwoman
maom: maomao
aorm: maormor
ppem: mappemonde
mapu: mapuche
mapw: mapwise
caib: maracaibo
nhao: maranhao
rfik: marfik
gaux: margaux
ybud: marybud
rihu: marihuana
ijua: marijuana
aryk: maryknoll
rykn: maryknoll
riup: mariupolite
iupo: mariupolite
rkeb: markeb
arkg: markgenossenschaft
rkge: markgenossenschaft
kgen: markgenossenschaft
kkaa: markkaa
rkus: markus
arll: marllike
wesq: marlowesque
arlp: marlpit
uisd: marquisdom
ieds: marrieds
ymuf: marrymuffe
wfat: marrowfat
arsd: marsdenia
rsde: marsdenia
rshy: marshy
rshs: marshs
yrly: martyrly
yrty: martyrtyria
rwer: marwer
sdeu: masdeu
giah: mashgiah
hgic: mashgichim
gich: mashgichim
hgih: mashgihim
gihi: mashgihim
ihim: mashgihim
shpe: mashpee
hpee: mashpee
kego: maskegon
skmv: maskmv
masl: maslin
nryi: masonrying
ebah: massebah
ssek: massekhoth
sifs: massifs
symo: massymore
sska: masskanne
ssmo: massmonger
ssoy: massoy
eosq: mastoideosquamous
ataj: matajuelo
taju: matajuelo
matb: matboard
atez: matezite
tezi: matezite
tsue: matsue
attb: mattboard
ttbo: mattboard
eucc: matteuccia
matw: matweed
zohs: matzohs
maub: mauby
aulv: maulvi
maup: maupassant
mauq: mauquahog
maux: maux
mavr: mavrodaphne
vrod: mavrodaphne
mawb: mawbound
mawe: mawed
mawg: mawger
wger: mawger
mawm: mawmish
mawn: mawn
mawp: mawp
maww: mawworm
lloj: maxillojugal
loju: maxillojugal
muml: maximumly
xisi: maxisingle
xisk: maxiskirt
azag: mazagran
zagr: mazagran
zalg: mazalgia
azap: mazapilite
zapi: mazapilite
zdea: mazdean
azdo: mazdoor
zdoo: mazdoor
azdu: mazdur
zdur: mazdur
mazh: mazhabi
zhab: mazhabi
zody: mazodynia
zovi: mazovian
azuc: mazuca
zuca: mazuca
beue: mbeuer
mbps: mbps
mcca: mccarthyism
mcco: mccoy
mcdo: mcdonald
cdon: mcdonald
mcka: mckay
mcph: mcphail
mdew: mdewakanton
mdnt: mdnt
mdse: mdse
alyw: mealywing
anwh: meanwhile
asly: measly
atcu: meatcutter
meaw: meaw
meaz: meazle
mebs: mebsuta
ebsu: mebsuta
bsut: mebsuta
ccaw: meccawee
mecl: meclizine
vacs: medevacs
icoz: medicozoologic
imnu: medimnus
crel: mediocrely
meeb: meebos
meeh: meehan
ekoc: meekoceras
koce: meekoceras
egaa: megaara
gacu: megacurie
aerg: megaerg
gafa: megafarad
afog: megafog
egaj: megajoule
gajo: megajoule
gapr: megaprosopous
megb: megbote
mege: megerg
egmh: megmho
gmho: megmho
grez: megrez
megu: meguilp
uilp: meguilp
mehm: mehmandar
ehma: mehmandar
mehr: mehrdad
ehrd: mehrdad
hrda: mehrdad
rdad: mehrdad
yerh: meyerhofferite
rhof: meyerhofferite
meij: meiji
eiji: meiji
eisj: meisje
mejo: mejorana
mekb: mekbuda
ekbu: mekbuda
kbud: mekbuda
ammd: melammdim
mmdi: melammdim
laxu: melaxuma
xuma: melaxuma
zede: melchizedek
etsk: meletski
zito: melezitose
owph: mellowphone
wpho: mellowphone
lpom: melpomene
eigi: melteigite
melv: melvie
gkab: menangkabau
enaq: menaquinone
eviu: mendelevium
elye: mendelyeevite
lyee: mendelyeevite
yeev: mendelyeevite
ozit: mendozite
negh: meneghinite
engw: mengwe
scec: meniscectomy
gyes: menologyes
ruoo: menstruoos
ruos: menstruosity
eowi: meowing
eows: meows
mepe: meperidine
rcyp: mercyproof
ccii: merlucciidae
cciu: merluccius
ymee: merrymeeting
esab: mesabite
esao: mesaortitis
esax: mesaxonic
sdam: mesdames
ugaa: meshugaas
ggaa: meshuggaas
sioo: mesioocclusal
iooc: mesioocclusal
siov: mesioversion
sivt: mesivta
ivta: mesivta
mesl: meslen
sohi: mesohippus
sosk: mesoskelic
mesr: mesropian
essk: messkit
sski: messkit
ssrs: messrs
mesv: mesvinian
tafo: metaformaldehyde
tnio: metageitnion
etao: metaorganism
aseq: metasequoia
thaq: methaqualone
hegl: metheglin
lhep: methylheptenone
ylna: methylnaphthalene
lnap: methylnaphthalene
ylpa: methylparaben
ylpr: methylpropane
ypry: methyprylon
hodl: methodless
totm: metrectotmy
otmy: metrectotmy
meum: meum
eurt: meurtriere
ewls: mewls
mezo: mezo
uzas: mezuzas
zzav: mezzavoce
zavo: mezzavoce
mhom: mhometer
myac: myacea
aots: miaotse
aotz: miaotze
aowi: miaowing
aows: miaows
iarg: miargyrite
iaue: miauer
iauw: miauw
mibs: mibs
micm: micmac
icma: micmac
ycof: mycoflora
izic: mycorrhizic
ihiz: mycorrihizas
ccea: micrococceae
roeu: microeutaxitic
olev: microlevel
vaxe: microvaxes
oweb: microweber
phum: myctophum
idaf: midafternoon
ydai: mydaidae
ydau: mydaus
idax: midaxillary
idba: midband
idbo: midbody
dbod: midbody
idca: midcarpal
ewiw: midewiwin
idfo: midforenoon
idfr: midfrontal
midh: midheaven
idpi: midpit
idsc: midscale
dsem: midsemester
pmit: midshipmite
dsts: midsts
dtar: midtarsal
dvei: midvein
htyh: mightyhearted
htys: mightyship
migm: migmatite
migs: migs
migu: miguel
mihr: mihrab
yiar: myiarchus
myif: myiferous
yife: myiferous
yios: myiosis
ijak: mijakite
jaki: mijakite
mijl: mijl
adoa: mikadoate
kael: mikael
myki: mykiss
ykis: mykiss
ikrk: mikrkra
krkr: mikrkra
vehs: mikvehs
ikvo: mikvoth
kvot: mikvoth
dewp: mildewproof
milh: milha
milj: miljee
ilje: miljee
ljee: miljee
ilkb: milkbush
lkbu: milkbush
ilkh: milkhouse
lkto: milktoast
ktoa: milktoast
lfee: millfeed
lieq: milliequivalent
lijo: millijoule
etmh: millimetmhos
tmho: millimetmhos
micc: millimiccra
iccr: millimiccra
iroe: milliroentgen
iweb: milliweber
illk: millken
llry: millrynd
lryn: millrynd
miln: milner
ilre: milreis
lrei: milreis
iltw: miltwaste
ilvu: milvus
milz: milzbrand
ilzb: milzbrand
lzbr: milzbrand
zbra: milzbrand
nypi: miminypiminy
ypim: miminypiminy
miml: mimly
mmoo: mimmood
mimz: mimzy
imzy: mimzy
srag: minasragrite
natn: minatnrial
atnr: minatnrial
tnri: minatnrial
nria: minatnrial
aiog: mineraiogic
agim: minhagim
nhah: minhah
nyad: minyadidae
nyae: minyae
nkop: minkopi
nneh: minnehaha
iebu: minniebush
noiz: minoize
chtb: mynpachtbrief
ntbu: mintbush
nune: minunet
inxs: minxship
nxsh: minxship
yoat: myoatrophy
yocd: myocdia
ocdi: myocdia
cdia: myocdia
yoel: myoelectric
yoha: myohaematin
kymi: myokymia
yole: myolemma
gisr: myologisral
sral: myologisral
myow: myowun
yowu: myowun
owun: myowun
yoxu: myoxus
miqr: miqra
iqra: miqra
mirb: mirbane
yrce: myrcene
yrci: myrcia
poix: mirepoix
mirf: mirfak
rfak: mirfak
iadf: myriadfold
iadl: myriadly
iamn: miriamne
irik: miriki
irkn: mirkness
rmek: myrmekite
yrmo: myrmotherine
irvs: mirvs
rzas: mirzas
sbap: misbaptize
sbed: misbede
cegi: miscegine
sdau: misdaub
sdep: misdepart
sdet: misdetermine
sdie: misdiet
sdig: misdight
sdon: misdone
seff: miseffect
serh: miserhood
sfau: misfault
sfei: misfeign
sfon: misfond
isgy: misgye
sgye: misgye
glyi: misgivinglying
sgot: misgotten
sgug: misguggle
khwu: mishikhwutmetunne
hwut: mishikhwutmetunne
wutm: mishikhwutmetunne
hnah: mishnah
slle: mislled
pnis: misocapnist
srew: misreward
ssug: missuggestion
nusk: mistonusk
svid: misviding
swre: miswrest
isze: miszealous
szea: miszealous
ytac: mytacism
ythl: mythland
yths: myths
tsvo: mitsvoth
svot: mitsvoth
lmee: mittelmeer
mitv: mitvoth
itvo: mitvoth
tzvo: mitzvoth
zvot: mitzvoth
yxae: myxaemia
yxam: myxamoeba
xamo: myxamoeba
yxan: myxangitis
yxas: myxasthenia
mixb: mixblood
ixbl: mixblood
yxem: myxemia
mixh: mixhill
ixhi: mixhill
ixib: mixible
ixob: mixobarbaric
ixoc: mixochromosome
yxol: myxolipoma
yxon: myxoneuroma
ixos: mixosaurus
mizm: mizmaze
zmaz: mizmaze
mizp: mizpah
izpa: mizpah
zrac: mizrach
zrah: mizrah
zrai: mizraim
mktg: mktg
hchh: mlechchha
mmfd: mmfd
mmmm: mmmm
mnag: mnage
mnev: mnevis
oanl: moanless
moas: moas
mobp: mobproof
bsme: mobsmen
ockg: mockground
mocm: mocmain
modd: modder
modg: modge
mods: mods
dumi: modumite
oeck: moeck
moeh: moehringia
oehr: moehringia
ehri: moehringia
moeu: moeurs
oeur: moeurs
mogd: mogdad
ogda: mogdad
ogip: mogiphonia
giph: mogiphonia
ohav: mohave
wkia: mohawkian
oheg: mohegan
eyam: mohineyam
mohn: mohnseed
hnse: mohnseed
hooh: mohoohoo
mohw: mohwa
ohwa: mohwa
yenl: moyenless
oyit: moyite
kiha: mokihana
moku: mokum
aaff: molengraaffite
bdon: molybdonosus
molk: molka
ymaw: mollymawk
uscs: molluscs
olmu: molmutian
molr: molrooken
oltt: moltten
molv: molvi
momz: momzer
omze: momzer
nadn: monadnock
gasq: monegasque
eyge: moneygetting
neyo: moneyocracy
eyoc: moneyocracy
eysa: moneysaving
ysav: moneysaving
ngoy: mongoyo
goyo: mongoyo
reln: mongrelness
monh: monheimite
onkb: monkbird
onkc: monkcraft
nkcr: monkcraft
onkd: monkdom
eynu: monkeynut
eyta: monkeytail
nkfl: monkflower
onkm: monkmonger
nkmo: monkmonger
oeid: monoeidic
ohul: monohull
lasr: monoplasric
asri: monoplasric
sric: monoplasric
umoa: monopneumoa
gnev: monseignevr
nevr: monseignevr
taby: montabyn
abyn: montabyn
ntez: montezuma
tezu: montezuma
ezum: montezuma
ntpe: montpelier
tpel: montpelier
oydi: montroydite
ntuv: montuvio
tuvi: montuvio
mooa: mooachaht
ooac: mooachaht
haht: mooachaht
mooe: mooed
mooi: mooing
okht: mookhtar
lvee: moolvee
oonq: moonquake
ewob: moosewob
plah: moplah
idez: morbidezza
guoi: moringuoid
mork: morkin
aors: mormaorship
orox: moroxite
rphg: morphgan
phga: morphgan
thwy: morthwyrtha
hwyr: morthwyrtha
wyrt: morthwyrtha
morv: morvin
mosg: mosgu
osgu: mosgu
emah: moslemah
sbun: mossbunker
tdea: mostdeal
twha: mostwhat
otaz: motazilite
rfuc: motherfucker
otyk: motyka
tyka: motyka
uedh: mouedhin
dhin: mouedhin
uldm: mouldmade
uldw: mouldwarp
oulr: moulrush
oulv: moulvi
moup: moup
seio: mouseion
eweb: mouseweb
seux: mousseux
hpip: mouthpipe
viei: movieize
ieiz: movieize
wcht: mowcht
whay: mowhay
mowl: mowland
wrah: mowrah
oxib: moxibustion
moxo: moxo
mpbs: mpbs
mphp: mphps
phps: mphps
mrem: mrem
msec: msec
msou: msource
mtge: mtge
mtie: mtier
mtsc: mtscmd
tscm: mtscmd
scmd: mtscmd
muan: muang
muba: mubarat
hfol: muchfold
kamu: muckamuck
ckhi: muckhill
ckib: muckibus
kmid: muckmidden
lucs: muclucs
mudb: mudbank
udba: mudbank
udej: mudejar
udfa: mudfat
rieh: mudirieh
udpa: mudpack
dpac: mudpack
udsk: mudskipper
udsu: mudsucker
mudt: mudtrack
udtr: mudtrack
mueh: muehlenbeckia
uehl: muehlenbeckia
mues: muesli
uesl: muesli
mufa: mufasal
fasa: mufasal
muga: muga
muge: mugearite
mugf: mugful
gwet: mugwet
uhly: muhly
uhli: muhlies
muid: muid
muil: muilla
uirb: muirburn
uirf: muirfowl
muys: muysca
uysc: muysca
muyu: muyusa
uyus: muyusa
muje: mujeres
mujt: mujtahid
ujta: mujtahid
jtah: mujtahid
muka: mukade
ukad: mukade
mukd: mukden
ukde: mukden
kden: mukden
mukr: mukri
ukte: muktear
ktea: muktear
ukti: mukti
ktuk: muktuk
lcts: mulcts
muld: mulder
tiby: multibyte
ifon: multifont
igap: multigap
ihop: multihop
ihul: multihull
ltii: multiinfection
tije: multijet
mulv: mulvel
mumc: mumchance
mume: mume
mumh: mumhouse
mumj: mumjuma
umju: mumjuma
mmyh: mummyhood
mmyl: mummylike
umms: mumms
mumn: mumness
mumr: mumruffin
mruf: mumruffin
dunu: mundunugu
ungc: mungcorn
gofa: mungofa
ngub: munguba
jacs: muntjacs
muph: muphrid
urkn: murkness
emew: murlemewes
murn: murnival
urrn: murrnong
rrno: murrnong
urux: muruxi
murv: murva
rzim: murzim
scly: muscly
bbih: mushabbihite
bihi: mushabbihite
ihit: mushabbihite
ebiy: mushrebiyeh
sicm: musicmonger
uskf: muskflower
uskg: muskgrass
skgr: muskgrass
skho: muskhogean
khog: muskhogean
koxe: muskoxen
skwa: muskwaki
musm: musmon
usmo: musmon
musn: musnud
usnu: musnud
uasp: musquaspen
ssuk: mussuk
sulw: mussulwoman
afuz: mustafuz
tahf: mustahfiz
ahfi: mustahfiz
hfiz: mustahfiz
sths: musths
stnt: mustnt
musu: musumee
utaf: mutafacient
utsj: mutsje
tsje: mutsje
utuu: mutuum
mutw: mutwalli
muus: muumuus
muvu: muvule
muza: muzarab
zlew: muzzlewood
mwal: mwalimu
mzee: mzee
mzun: mzungu
naas: naassenes
aass: naassenes
nabc: nabcheat
nabk: nabk
ynab: nabobrynabobs
hlag: nachschlag
htmm: nachtmml
tmml: nachtmml
dirs: nadirs
naeb: naebody
gaik: nagaika
gyag: nagyagite
nagk: nagkassar
agka: nagkassar
gkas: nagkassar
gmaa: nagmaal
ayau: nayaur
yaur: nayaur
naib: naib
aifl: naifly
naio: naio
naip: naipkin
aipk: naipkin
naiq: naique
komg: nakomgilisala
omgi: nakomgilisala
mgil: nakomgilisala
nanm: nanmu
nnof: nannofossil
nowo: nanoword
nanp: nanpie
aome: naometry
aomi: naomi
naot: naoto
aoto: naoto
pecr: napecrest
aump: nasaump
hgab: nashgab
hgob: nashgob
shvi: nashville
sioa: nasioalveolar
askh: naskhi
asro: nasrol
heza: natchezan
hnee: natchnee
ugah: naugahyde
gahy: naugahyde
ujai: naujaite
nauk: naukrar
krar: naukrar
uplp: nauplplii
plpl: nauplplii
varh: navarho
laef: naviculaeform
awob: nawob
nawt: nawt
nazd: nazdrowie
azdr: nazdrowie
zdro: nazdrowie
azii: naziism
ziis: naziism
neaf: neaf
raiv: nearaivays
ivay: nearaivays
vays: nearaivays
ebii: nebiim
biim: nebiim
dnez: nebuchadnezzar
nezz: nebuchadnezzar
eckc: neckcloth
eckg: neckguard
kyok: neckyoke
edsl: needsly
dsly: needsly
neeg: neeger
elgh: neelghan
effy: neffy
neft: neftgil
eftg: neftgil
ftgi: neftgil
tgil: neftgil
negq: negqtiator
egqt: negqtiator
gqti: negqtiator
qtia: negqtiator
nehi: nehiloth
nehr: nehru
ehru: nehru
eipe: neiper
ejdi: nejdi
nekk: nekkar
nelk: nelken
eoac: neoacademic
ofab: neofabraea
neoy: neoytterbium
eool: neoologist
eowa: neowashingtonia
eoza: neoza
poui: nepouite
ouit: nepouite
nepq: nepquite
epqu: nepquite
ritj: neritjc
itjc: neritjc
nerk: nerka
rvep: nerveproof
rvii: nervii
vimu: nervimuscular
eskh: neskhi
ueho: nesquehonite
eugk: neugkroschen
ugkr: neugkroschen
gkro: neugkroschen
tizc: neumatizce
izce: neumatizce
myic: neuromyic
nevy: nevyanskite
evya: nevyanskite
vyan: nevyanskite
nevu: nevus
wcal: newcal
wfas: newfashioned
ewgr: newground
wmow: newmown
newp: newport
ewsa: newsagent
wsbe: newsbeat
wsbi: newsbill
wsbr: newsbreak
ewsf: newsful
wsgr: newsgroup
ewsy: newsy
wssh: newssheet
ewsv: newsvendor
wsve: newsvendor
wtak: newtake
ewts: newts
extd: nextdoor
xtdo: nextdoor
extn: nextness
xtne: nextness
goko: ngoko
nyay: nyaya
yanj: nyanja
yanz: nyanza
bsom: nibsome
kelb: nickelbloom
nyck: nyckelharpa
ycke: nyckelharpa
ltyp: nickeltype
nyet: nyet
ievl: nievling
evli: nievling
fesi: nifesima
iflh: niflheim
flhe: niflheim
lhei: niflheim
iggr: niggra
ghtd: nightdress
htdr: nightdress
htfl: nightflit
htga: nightgale
htlo: nightlong
gnay: nignay
gnye: nignye
sceo: nigresceous
iyam: niyama
niyo: niyoga
iyog: niyoga
nijh: nijholt
ijho: nijholt
jhol: nijholt
niji: nijinsky
nikl: niklesite
ylga: nylgau
nilp: nilpotent
nimk: nimkish
mkis: nimkish
ymss: nymss
etyf: ninetyfold
etyk: ninetyknot
tykn: ninetyknot
nipc: nipcheese
nirm: nirmanakaya
nisq: nisqualli
agmu: nystagmus
nytr: nytril
osoa: nitrosoamine
niua: niuan
iuan: niuan
niue: niue
iveo: niveous
nixy: nixy
nixt: nixtamal
ixta: nixtamal
zams: nizams
zamu: nizamut
nizy: nizy
njav: njave
oahi: noahic
obbu: nobbut
ocak: nocake
tuae: noctuae
noeb: noebcd
oebc: noebcd
noib: noibwood
oibw: noibwood
noix: noix
nokt: nokta
nolt: nolt
nahy: nonahydrate
cabn: nonapplicabness
nasb: nonasbestine
dibn: nonedibness
nenz: nonenzymic
nlip: nonlipoidal
npyo: nonpyogenic
vabn: nonresolvabness
keds: nonskeds
onvv: nonvvacua
nvva: nonvvacua
vvac: nonvvacua
ootk: nootka
otka: nootka
palr: nopalry
iold: nordenskioldine
rkyn: norkyn
ewoc: norridgewock
thup: northupite
rwey: norweyan
weya: norweyan
seov: noseover
ndud: notanduda
emug: notemugge
ifye: notifyee
fyee: notifyee
notk: notkerian
tker: notkerian
meai: noumeaite
oumm: noummos
novc: novcic
ovci: novcic
vcic: novcic
vemc: novemcostate
emdi: novemdigitate
vemf: novemfid
veml: novemlobate
mlob: novemlobate
vemn: novemnervate
vemp: novemperfoliate
ovob: novobiocin
ovod: novodamus
voda: novodamus
lsky: novorolsky
ovus: novus
nowr: nowroze
wroz: nowroze
owts: nowts
npfx: npfx
nuad: nuadu
nudz: nudzh
udzh: nudzh
ukuh: nukuhivan
kuhi: nukuhivan
uhiv: nukuhivan
ibiq: nullibiquitous
bsku: numbskull
numn: numnah
numu: numud
umud: numud
nunb: nunbird
nunh: nunhood
nunq: nunquam
nunr: nunry
unry: nunry
nuqu: nuque
nurh: nurhag
usak: nusakan
nusf: nusfiah
fiah: nusfiah
nutj: nutjobber
megs: nutmegs
oafd: oafdom
oakt: oaktongue
kweb: oakweb
bclu: obclude
obcu: obcuneate
obdt: obdt
obex: obex
bfir: obfirm
ctti: objecttification
bjet: objet
obji: objicient
objr: objranging
bjra: objranging
objs: objscan
bjsc: objscan
jsca: objscan
licq: oblicque
obne: obnebulate
bneb: obnebulate
bnun: obnunciation
bsed: obsede
bstu: obstupefy
obva: obvallate
bvel: obvelation
usog: occlusogingival
cner: ocneria
ctak: octakishexahedron
tavd: octavd
octd: octdra
ctdr: octdra
ctoy: octoyl
ctoo: octoon
cuby: ocuby
uloz: oculozygomatic
lisq: odalisque
oddf: oddfellow
ddfe: oddfellow
ddma: oddman
ddsb: oddsbud
ddsi: oddside
lsth: odelsthing
olox: odontoloxia
odwy: odwyer
dwye: odwyer
ffbr: offbreak
fbre: offbreak
fgoi: offgoing
ffgr: offgrade
fgra: offgrade
cerh: officerhood
ffpa: offpay
fpay: offpay
ffps: offpspring
fsad: offsaddle
fsca: offscape
fscr: offscreen
fscu: offscum
ffty: offtype
fftr: offtrack
fthi: ofthink
ftwh: oftwhiles
ogpu: ogpu
ohoy: ohoy
oyap: oyapock
oidw: oidwlfe
idwl: oidwlfe
dwlf: oidwlfe
wlfe: oidwlfe
oyel: oyelet
oyez: oyez
kopl: oikoplast
oiks: oiks
hoai: oinochoai
bwas: ojibwas
kaye: okayed
kayi: okaying
kehs: okehs
ehao: okolehao
kruz: okruzi
oofd: okshoofd
okth: okthabah
okua: okuari
upuk: okupukupu
olaf: olaf
ldla: oldland
dwen: oldwench
eoyl: oleoyl
gaem: oligaemia
gidr: oligidria
gohe: oligohemia
gohy: oligohydramnios
okeu: oligotokeus
keus: oligotokeus
ykoe: olykoek
lamh: ollamh
llav: ollav
liuq: ololiuqui
iuqu: ololiuqui
ndoy: ondoyant
doya: ondoyant
eupm: oneupmanship
newh: onewhere
yxit: onyxitis
ofri: onofrite
pord: onopordon
ooan: ooangium
ofbi: oofbird
oooo: oooo
opuh: oopuhue
puhu: oopuhue
uhue: oopuhue
ooua: oouassa
pcod: opcode
pdal: opdalite
iucu: ophiucus
lmio: ophthalmious
piis: opiism
opim: opimian
sisf: opsisform
rakz: orakzai
orao: oraon
eamn: oreamnos
rfev: orfevrerie
fevr: orfevrerie
orfg: orfgild
rfgi: orfgild
fgil: orfgild
rgyi: orgyia
gyia: orgyia
hamw: orhamwood
oriy: oriya
